url,platform,performance_score,first_contentful_paint,speed_index,largest_contentful_paint,interactive,total_blocking_time,cumulative_layout_shift
https://www.800cashtoday.com/property/california/newport-beach,Non-Carrot,36.0,3789.358,4830.281,8707.902,15709.358,2126.203,0.016
https://osbornehomes.com/we-buy-houses/california/los-angeles-county/monterey-park/,Non-Carrot,29.0,6151.084,7990.997,7651.105,24131.49,3248.0,0.027
https://realestatebees.com/sell/home/investors/newport-beach-ca/,Non-Carrot,42.0,3151.121,5485.676,5026.2,21798.976,4236.452,0.017
https://www.sellmyhousefast.com/we-buy-houses-monterey-park-california/,Non-Carrot,49.0,2617.3,7671.171,3601.024,19199.204,6142.5,0.019
https://www.ibuyers.app/california/ibuyer-monterey-park-ca/,Non-Carrot,53.0,2559.797,7197.224,3076.024,16685.305,5975.5,0.06
https://www.sellmyhousefast.com/we-buy-houses-newport-beach-california/,Non-Carrot,51.0,2617.302,6428.332,3601.032,15010.392,4424.0,0.019
https://sellmyhouseeasyfast.com/we-buy-houses-pasadena-ca/,Non-Carrot,59.0,3005.835,4159.712,13658.235,11405.062,347.0,0.069
https://www.homelight.com/pasadena-ca/sell-house-fast,Non-Carrot,38.0,3669.705,4887.274,6683.026,9002.53,1575.0,0.089
https://www.sellmyhousefast.com/we-buy-houses-pasadena-california/,Non-Carrot,44.0,2559.324,5372.181,3676.037,14976.057,3701.5,0.189
https://www.housebuyernetwork.com/house-buyers-pasadena-california/,Non-Carrot,34.0,3668.531,5443.303,8191.58,13710.174,3764.476,0.0
https://tarekbuyshouses.com/locations/we-buy-houses-orange-county-ca/,Non-Carrot,46.0,1383.009,4190.776,12508.42,12123.956,1690.998,0.0
https://prospectgroup.net/sell-my-house-fast-pasadena/,Non-Carrot,45.0,7351.057,7351.057,9901.077,14277.344,474.494,0.054
https://www.homego.com/sell-your-home/santa-ana-ca/,Non-Carrot,51.0,1201.009,1332.716,8026.074,8990.056,1206.747,0.024
https://osbornehomes.com/we-buy-houses/california/orange-county/orange/,Non-Carrot,29.0,6301.075,8166.225,8851.107,23587.56,2214.5,0.031
https://brotherlyloveproperties.com/sell-my-house-fast-santa-ana-ca/,Non-Carrot,70.0,2648.228,3429.089,14357.161,6115.341,46.5,0.002
https://highestcashoffer.com/california/santa-ana/,Non-Carrot,25.0,4495.112,7020.67,6001.034,27420.826,3867.896,0.183
https://www.sellmyhousefast.com/we-buy-houses-santa-ana-california/,Non-Carrot,48.0,2588.301,5067.018,3601.022,12344.224,3393.703,0.141
https://www.housebuyernetwork.com/house-buyers-santa-ana-california/,Non-Carrot,37.0,3098.51,5749.925,7130.518,13158.143,2810.0,0.0
https://www.sellersadvantage.com/ca/sell-my-house-fast-torrance/,Non-Carrot,94.0,2101.0,2101.0,2176.0,2101.0,0.0,0.111
https://www.homelight.com/santa-ana-ca/sell-house-fast,Non-Carrot,13.0,3832.705,7328.487,6750.527,9277.678,1394.0,0.808
https://stewardshipproperties.com/california/pasadena/,Non-Carrot,31.0,4100.22,7196.405,7651.096,22249.517,4430.5,0.0
https://housecashin.com/ca/santa-ana/,Non-Carrot,17.0,2706.711,6777.701,13835.16,16069.468,3255.0,0.367
https://www.homelight.com/santa-monica-ca/sell-house-fast,Non-Carrot,12.0,5877.899,6109.922,6838.902,8926.256,1593.5,0.808
https://webuytorrancehouses.com/,Non-Carrot,0.0,,,,,,
https://www.housebuyernetwork.com/house-buyers-santa-monica-california/,Non-Carrot,30.0,3667.507,5821.784,7850.522,13219.635,2993.0,0.129
https://sellmyhouseeasyfast.com/we-buy-houses-torrance-ca/,Non-Carrot,59.0,3006.312,3984.203,13508.005,10359.217,357.5,0.069
https://socalhomebuyers.com/orange-county/sell-my-house-fast-tustin-ca/,Non-Carrot,98.0,1651.0,1651.0,2102.0,1733.5,0.0,0.0
https://www.sellmyhousefast.com/we-buy-houses-santa-monica-california/,Non-Carrot,48.0,2588.301,5132.266,3601.027,12997.294,3942.236,0.141
https://prospectgroup.net/sell-my-house-fast-santa-monica/,Non-Carrot,34.0,6001.029,6032.841,7501.037,14639.51,1630.499,0.042
https://dealmakerproperties.com/sell-my-house-fast-santa-ana-ca/,Non-Carrot,38.0,2705.715,6387.695,4426.086,22640.427,5558.798,0.163
https://www.homego.com/sell-your-home/torrance-ca/,Non-Carrot,54.0,1201.006,1201.006,5776.035,9071.504,1306.0,0.025
https://losangelescashhomebuyers.com/we-buy-houses-santa-monica-ca/,Non-Carrot,18.0,3088.045,4856.813,9451.154,16836.443,1801.0,0.491
https://premierpropertybuyers.com/areas/sell-my-house-fast-in-tustin-california/,Non-Carrot,78.0,2702.009,4710.768,4426.043,2702.009,0.0,0.017
https://prospectgroup.net/sell-my-house-fast-torrance/,Non-Carrot,40.0,6001.037,6001.037,8701.054,14534.127,846.0,0.054
https://www.sellmyhousefast.com/we-buy-houses-torrance-california/,Non-Carrot,54.0,2589.346,4593.709,3527.042,15262.556,5356.22,0.067
https://losangelescashhomebuyers.com/we-buy-houses-torrance-ca/,Non-Carrot,19.0,3601.562,4270.907,7651.638,15629.156,1846.5,0.491
https://www.homego.com/sell-your-home/tustin-ca/,Non-Carrot,60.0,1201.006,1660.905,3826.022,9212.433,2559.527,0.025
https://www.biggerequity.com/california/santa-monica/,Non-Carrot,35.0,2705.223,6755.727,10276.123,21559.041,2976.0,0.026
https://www.housebuyernetwork.com/house-buyers-tustin-california/,Non-Carrot,34.0,3740.014,5694.884,8282.033,13303.172,3396.512,0.0
https://www.homelight.com/arlington-heights-il/sell-house-fast,Non-Carrot,16.0,3683.711,5719.259,6701.534,9043.39,1494.0,0.719
https://www.homelight.com/blog/we-buy-houses-chicago/,Non-Carrot,66.0,5266.004,5266.004,5641.004,5266.004,0.0,0.006
https://www.webuyuglyhouses.com/chicago/,Non-Carrot,70.0,2102.01,2427.732,3602.018,12648.833,747.0,0.0
https://www.jeffbuysyourhouse.com/,Non-Carrot,92.0,1805.0,1917.107,2855.0,1919.4,4.0,0.093
https://www.tonybuyshomescash.com/sell-my-house-fast-arlington-heights-il/,Non-Carrot,47.0,4249.216,5658.641,9610.473,11817.331,601.5,0.0
https://www.housebuyernetwork.com/house-buyers-arlington-heights-illinois/,Non-Carrot,33.0,3726.504,6528.502,8191.519,13738.337,3097.5,0.0
https://brenthallcs.com/sell-my-house-fast,Non-Carrot,31.0,5671.367,5671.367,16887.053,20431.548,3425.0,0.0
https://www.shermanpropertyexperts.com/sell-house-fast-des-plaines/,Non-Carrot,61.0,2855.715,3827.097,3005.717,15846.87,1747.993,0.009
https://www.tonybuyshomescash.com/sell-my-house-fast-des-plaines-il/,Non-Carrot,47.0,4219.207,4985.976,9680.278,11268.034,638.0,0.0
https://www.sellmyhousefast.com/we-buy-houses-des-plaines-illinois/,Non-Carrot,48.0,2589.301,5167.098,3527.022,11949.273,3187.5,0.141
https://www.sellmyhousefast.com/we-buy-houses-arlington-heights-illinois/,Non-Carrot,53.0,2563.306,4938.325,3676.064,14780.015,4897.0,0.019
https://osbornehomes.com/we-buy-houses/california/orange-county/tustin/,Non-Carrot,28.0,6001.111,8392.486,7951.149,24583.283,3932.5,0.0
https://www.sellmyhousefast.com/we-buy-houses-elgin-illinois/,Non-Carrot,52.0,2560.302,5325.217,3602.033,12970.791,4066.0,0.061
https://www.homego.com/sell-your-home/elgin-il/,Non-Carrot,53.0,1201.009,1507.562,5326.048,9005.832,1669.0,0.024
https://www.housebuyernetwork.com/house-buyers-elgin-illinois/,Non-Carrot,35.0,3639.505,5718.75,7774.01,13311.385,2542.5,0.0
https://diamondequity.com/chicago-we-buy-houses/,Non-Carrot,35.0,4206.017,6106.96,7726.052,17214.216,1407.0,0.084
https://osbornehomes.com/we-buy-houses/california/los-angeles-county/torrance/,Non-Carrot,29.0,5551.124,8985.95,6601.149,27286.652,12180.095,0.0
https://asapcashhomebuyers.com/illinois/elgin/,Non-Carrot,43.0,2555.724,6324.819,4876.07,27305.796,5896.994,0.022
https://www.homelight.com/elgin-il/sell-house-fast,Non-Carrot,14.0,3667.709,6080.621,6600.536,9061.488,1597.0,0.808
https://www.tonybuyshomescash.com/sell-my-house-fast-elgin-il/,Non-Carrot,46.0,4221.554,4650.541,8481.183,11492.663,776.0,0.0
https://onyxhomesllc.com/we-buy-houses-in-arlington-heights-il/,Non-Carrot,27.0,4801.048,10723.203,6226.063,37369.717,9900.352,0.093
https://www.homego.com/sell-your-home/evanston-il/,Non-Carrot,51.0,970.01,1666.719,10426.165,8880.521,1236.253,0.024
https://www.housebuyernetwork.com/house-buyers-evanston-illinois/,Non-Carrot,30.0,3784.014,5789.212,7691.033,13553.369,2336.5,0.142
https://www.tonybuyshomescash.com/sell-my-house-fast-evanston-il/,Non-Carrot,43.0,4222.428,4536.399,10886.22,11860.313,896.0,0.0
https://www.sellmyhousefast.com/we-buy-houses-evanston-illinois/,Non-Carrot,45.0,2559.301,5000.846,3601.028,12295.287,3523.914,0.189
https://vickibuyshouses.pro/location/Hoffman%20Estates%2C%20IL,Non-Carrot,55.0,2249.716,4930.599,2699.724,9811.134,886.992,0.291
https://www.homelight.com/hoffman-estates-il/sell-house-fast,Non-Carrot,30.0,5864.02,7092.493,7075.024,9658.345,2188.0,0.089
https://asapcashhomebuyers.com/illinois/evanston/,Non-Carrot,42.0,2555.717,5989.271,5251.075,28916.683,7080.487,0.019
https://stewardshipproperties.com/illinois/elgin/,Non-Carrot,31.0,4235.713,6428.988,8101.081,22097.044,4619.021,0.0
https://housecashin.com/il/evanston/,Non-Carrot,21.0,2706.133,5786.177,13621.199,14961.116,1931.496,0.359
https://www.tonybuyshomescash.com/we-buy-homes-naperville-il/,Non-Carrot,41.0,4399.13,4533.499,9608.261,12084.793,1098.0,0.0
https://www.homelight.com/blog/we-buy-houses-schaumburg/,Non-Carrot,99.0,1182.003,1303.838,1220.003,1578.753,101.0,0.009
https://dealmakerproperties.com/sell-my-house-fast-hoffman-estates-il/,Non-Carrot,31.0,2859.141,7794.562,8926.134,23074.358,3674.368,0.1
https://newagainhouses.com/locations/il/naperville,Non-Carrot,42.0,4090.398,4090.398,11654.348,10870.245,1070.5,0.001
https://www.tonybuyshomescash.com/sell-my-house-fast-hoffman-estates-il/,Non-Carrot,39.0,3191.93,4994.306,8779.713,12221.473,1787.0,0.0
https://www.sellmyhousefast.com/we-buy-houses-schaumburg-illinois/,Non-Carrot,47.0,2559.304,5491.218,3751.032,11843.635,2321.702,0.141
https://asapcashhomebuyers.com/illinois/hoffman-estates/,Non-Carrot,41.0,2556.277,6472.715,5251.062,30922.157,8660.492,0.024
https://www.tonybuyshomescash.com/sell-my-house-fast-schaumburg-il/,Non-Carrot,50.0,4220.201,4246.586,9983.218,11101.014,594.5,0.0
https://www.sellmyhousefast.com/we-buy-houses-naperville-illinois/,Non-Carrot,53.0,2560.304,4352.277,3677.053,14472.178,4273.0,0.067
https://www.housebuyernetwork.com/house-buyers-naperville-illinois/,Non-Carrot,34.0,3679.008,6062.775,8192.033,13293.419,2819.0,0.0
https://www.ibuyers.app/illinois/ibuyer-skokie-il/,Non-Carrot,59.0,2559.304,4886.23,2926.029,13045.661,2486.212,0.001
